评论,时间,点赞数,标签
有时候喝100碗鸡汤，不如看看up视频[doge],2023-03-23 12:52:20,4,0
B站唯一充电的up，怪鸽让我觉得投币不足以表达他对我的激励,2023-03-23 01:29:11,14,0
怪鸽让我知道了正能量不是一个口号，而是一次行动，一份坚持，一种态度。,2023-03-22 07:37:10,80,0
和老妈一起吃早餐～这家店都是现做的 好吃！,2023-03-24 01:10:05,2,0
一个纯粹的人，脱离了世俗的人[抱拳][抱拳],2023-03-23 10:00:32,3,0
粗茶淡饭不应该是您的最爱，而是这个世道不对劲，凭着良心生活的只能粗茶淡饭，把良心喂了狗的才能噶韭菜。您应当教育我们坑蒙拐骗，而不是以身作则让我们相信这世上竟然还有高风亮节的人[大哭],2023-03-23 12:47:36,3,0
今天刷视频看到了官方号作妖，各种离谱规定魔幻现实，看到怪鸽视频瞬间就心静了怪鸽真的是保持初心太难得了[大哭],2023-03-23 10:16:49,4,0
可以接点广告，不过前提东西一定没问题，可以赚点广告费改善生活,2023-03-23 14:24:53,2,0
前几天评论说想看吃饭，大叔就拍了一期，太感动了,2023-03-24 04:29:21,2,0
今天我真的非常非常不顺心，成绩也崩，社交也崩，大概是青春期的多愁善感，我哭了一晚上，看到怪鸽的视频真的给我带来了正能量，放松多了。希望怪鸽能越来越好[打call],2023-03-22 16:02:24,12,0
加油！奥利给，我的steamid就是奥利给大王,2023-03-23 04:34:23,5,0
"hhhhh好久没刷到了
祝健康快乐下去啊[2233娘_大笑]",2023-03-23 11:03:40,3,0
热量炸弹[doge][大笑],2023-03-23 12:30:42,4,0
可恶啊，得想个法子让他吃上大鱼大肉才行[傲娇],2023-03-23 09:31:32,2,0
还是向大哥看齐，遇事都能笑着面对，我最近面试不顺利，都有点消极的想法了[大哭],2023-03-23 11:53:47,2,0
一位点赞的靓仔路过,2023-03-23 13:58:00,3,0
红尘里的修士，俗世里的行者。,2023-03-22 09:35:05,48,0
兄弟们！我有个问题，怪鸽这么多视频，应该有收益呀！怎么吃的总是很清淡啊,2023-03-23 16:48:02,2,0
