评论,时间,点赞数,标签
"这两天一直想不明白自己对于这次风波的态度。因为当初收录攻略组的时候没收录莱茵，正是因为19-20年两次暴雷。但这几年莱茵的极限记录也都是在支持的，当年的事老观众也逐渐不再提起，给大家都留几分体面。
现在想明白了，私服、开挂的事是莱茵组抹不掉的黑点，而且至今仍未给观众一个满意的交代。作为方舟老玩家，还不能原谅莱茵，因为我当初也是私服风波时选择相信莱茵会改正，但在开挂风波时又一次被背叛的玩家。
但随着三年的极限攻略，作为极限圈老观众，我选择认可莱茵的实力和技术，认可每一份这个游戏最强的那群玩家们创造的奇迹。
只可惜啊，也只有这些老观众能记得，59废墟的时候，你莱茵才是方舟第一大攻略组。
这个评论只是我记录一下自己的一点思考和心路历程，我个人的一点主观观念，改变不了任何事。",2023-03-22 14:38:43,19,0
这么好的记录，当时没切割干净，现在也不舍得切割干净,2023-03-21 15:07:48,23,0
真的别吵了的确荣耀抹不掉污点但不代表可以全盘否定既然不认可这份攻略又何必点进来,2023-03-21 03:40:11,115,0
原来是要发视频了啊，怪不得今早连续两篇声明[音律联觉_吃瓜],2023-03-21 06:22:47,102,0
这39是真厉害啊，至少这一刻什么节奏都去他妈的吧，好好欣赏,2023-03-21 14:28:10,33,0
不知道莱茵发生了什么，但是看到归鲨登顶真的要落泪了，之前渊默的解法清一色有号角，归鲨的风评反倒不是很好[大哭],2023-03-23 03:31:30,12,0
先别带节奏，先看看怎么打的，不得不说渊默39真的是很荣耀的纪录，或许可以相信，当然也可以怀疑，大不了莱茵把无剪辑版本发出来，让大家评判是否开挂，不能因为怀疑就抹杀了渊默39的辛苦,2023-03-21 03:30:10,157,0
我看见评论区有人拿梵高来举例子，我认为是不妥的。梵高再疯子，他的作品也是自己一笔一笔画出来的，而不是靠其他手段。但现在，这个危机合约被攻略，就不需要在这里关心污点。只要这份最极限的记录没有问题，值得欣赏就行了。污点和荣耀不会相互覆盖，但攻略组也不应该被全盘否定[tv_点赞],2023-03-21 05:02:54,207,0
"为啥不换个名字 解散重组不好吗 不然辛辛苦苦打出来官方也不认可。
攻略组上官方视频不容易 以后如果都上不去了 不难受么。",2023-03-22 00:45:03,18,0
一份奇迹,2023-03-21 03:04:28,732,0
观众们对于某些伟大攻略者的偏见让我看到了B站观众的心胸狭隘捏,2023-03-21 11:09:01,37,0
看完后是真的震撼，当时莱茵放出39截图时我发现了没有号角和使用了二队长和莎莎，百思不得其解。在和群友讨论后，我认为二队长是拉花拖时间，莎莎锁血配合42姐带拐强杀美丽哥，但却想不明白上面的四个蛋在没有号角的情况下要如何除了。看完真的wc，二队长打断美丽哥，42姐强杀，卡花时一度不知道要怎么处理，但是流转干员拆弹，还能利用卡夫卡防止激活花，结尾的力合成更是有魔术之美。我自己也打合约虽然不高，但我明白如此多的操作和长时间的微操是很消磨意志，特别容易一个不小心全盘皆输。这份作战记录看的我酣畅淋漓。[打call][打call][打call][热词系列_燃起来了],2023-03-21 07:54:05,18,0
骂人请移步专栏，这里是欣赏危机合约顶级思路传奇的地方,2023-03-21 09:20:31,59,0
艺术品的价值不会因为创作者的问题而贬值。没人会因为梵高是疯子就否定他的画作，也不会因为牛顿追求神学而否定他的物理定律。,2023-03-21 04:02:16,408,0
这一份浓缩了多少人心血的结晶被某些人的蒙上了一层阴影（你组确实应该好好整顿内部了，公关了些什么）,2023-03-21 05:06:23,139,0
突然get到这个游戏真正的玩法，不是高数据的爆杀，而是机制与机制之间的合理运用，一味追求高数据角色而忽视那些有着特殊机制的角色，现在看看是怎么样的一种损失。,2023-03-21 11:32:55,17,0
熱淚盈眶了 在最後的淵默行動 用各種奇天魔術征服滿級合約 從陸服到台服 這段漫長的路終於結束了,2023-03-22 09:35:07,17,0
作战记录就是作战记录，我不明白这有什么心情复杂的，作战记录他不会说话，不会有节奏，他只是一份作战记录而已,2023-03-21 07:01:06,38,0
被鹰角认可固然是种荣誉，但渊默39是玩家心中无可替代的荣光，它属于星海和莱茵，属于参与的攻略者,2023-03-21 04:50:21,96,0
关于这份奇迹般的作战记录我很敬仰，至于它到底是不是私服摸出来的我认为讨论已经没什么意义了，就算真证明不是我也会觉得你是不是之前会那样做，只能说你已经给人们心中种下了怀疑的种子和给自己泼上了污点，那你就算再怎么努力可能也收效甚微，更何况你对这个节奏的处理方式让人不好评价，就，祝未来可期。,2023-03-21 09:57:29,31,0
"这两天一直想不明白自己对于这次风波的态度。因为当初收录攻略组的时候没收录莱茵，正是因为19-20年两次暴雷。但这几年莱茵的极限记录也都是在支持的，当年的事老观众也逐渐不再提起，给大家都留几分体面。
现在想明白了，私服、开挂的事是莱茵组抹不掉的黑点，而且至今仍未给观众一个满意的交代。作为方舟老玩家，还不能原谅莱茵，因为我当初也是私服风波时选择相信莱茵会改正，但在开挂风波时又一次被背叛的玩家。
但随着三年的极限攻略，作为极限圈老观众，我选择认可莱茵的实力和技术，认可每一份这个游戏最强的那群玩家们创造的奇迹。
只可惜啊，也只有这些老观众能记得，59废墟的时候，你莱茵才是方舟第一大攻略组。
这个评论只是我记录一下自己的一点思考和心路历程，我个人的一点主观观念，改变不了任何事。",2023-03-22 14:38:43,19,0
这么好的记录，当时没切割干净，现在也不舍得切割干净,2023-03-21 15:07:48,23,0
真的别吵了的确荣耀抹不掉污点但不代表可以全盘否定既然不认可这份攻略又何必点进来,2023-03-21 03:40:11,115,0
原来是要发视频了啊，怪不得今早连续两篇声明[音律联觉_吃瓜],2023-03-21 06:22:47,102,0
这39是真厉害啊，至少这一刻什么节奏都去他妈的吧，好好欣赏,2023-03-21 14:28:10,33,0
